material_number,material_description,material_type,category_code
0000101719,Cement OPC Fine,ROH,060
0000101720,Structural Steel 53 Grade,ROH,060
0000101721,Cement OPC 0.5mm,ROH,060
0000101722,Bricks Red Coarse,ROH,060
0000101723,Roofing Sheet GI 0.63mm,ROH,060
0000101724,Sand Crushed 0.5mm,ROH,060
0000101725,Cement PPC M20,ROH,060
0000101726,Ready Mix Concrete Fe500,ROH,060
0000101727,Ready Mix Concrete Fe500,ROH,060
0000101728,Bricks Red M30,ROH,060
0000101729,Waterproofing Compound M20,ROH,060
0000101730,Bricks Red 20mm,ROH,060
0000101731,Sand Crushed Fe500,ROH,060
0000101732,Ready Mix Concrete 0.63mm,ROH,060
0000101733,Paint Industrial M40,ROH,060
0000101734,Cement OPC M40,ROH,060
0000101735,Cement PPC 0.63mm,ROH,060
0000101736,Cement PPC Epoxy,ROH,060
0000101737,AAC Blocks 53 Grade,ROH,060
0000101738,Ready Mix Concrete M25,ROH,060
0000101739,Cement OPC M20,ROH,061
0000101740,Paint Industrial 43 Grade,ROH,061
0000101741,TMT Rebar Polyurethane,ROH,061
0000101742,Sand River Fine,ROH,061
0000101743,TMT Rebar 40mm,ROH,061
0000101744,TMT Rebar Fine,ROH,061
0000101745,Paint Industrial Fe550D,ROH,061
0000101746,Waterproofing Compound 43 Grade,ROH,061
0000101747,Sand River 0.63mm,ROH,061
0000101748,Ready Mix Concrete Fe500,ROH,061
0000101749,Ready Mix Concrete Fe500,ROH,061
0000101750,Aggregate Epoxy,ROH,061
0000101751,Bricks Red 40mm,ROH,061
0000101752,Cement OPC Polyurethane,ROH,061
0000101753,PVC Pipe M25,ROH,061
0000101754,Sand River M25,ROH,061
0000101755,Ready Mix Concrete Fe550D,ROH,061
0000101756,AAC Blocks Fe550D,ROH,061
0000101757,LED Floodlight Siemens,ERSA,062
0000101758,Electric Motor 11 kW,ERSA,062
0000101759,Cable Tray 5.5 kW,ERSA,062
0000101760,Transformer Distribution 11 kW,ERSA,062
0000101761,Busbar Aluminium 11 kV,ERSA,062
0000101762,Busbar Copper 55 kW,ERSA,062
0000101763,Switchgear Panel 11 kW,ERSA,062
0000101764,Relay Protection 4C x 95 sqmm,ERSA,062
0000101765,Transformer Distribution 6.6 kV,ERSA,062
0000101766,Transformer Distribution 4C x 95 sqmm,ERSA,062
0000101767,LED Floodlight 6.6 kV,ERSA,062
0000101768,Cable Power XLPE 22 kW,ERSA,062
0000101769,Contactor 11 kV,ERSA,062
0000101770,VFD Drive Siemens,ERSA,062
0000101771,Circuit Breaker 11 kW,ERSA,062
0000101772,Switchgear Panel 160 kW,ERSA,062
0000101773,Junction Box Siemens,ERSA,062
0000101774,Electric Motor 33 kV,ERSA,062
0000101775,VFD Drive 3.5C x 240 sqmm,ERSA,062
0000101776,Cable Tray 3.3 kV,ERSA,062
0000101777,Junction Box 3.3 kV,ERSA,062
0000101778,Cable Control 22 kW,ERSA,062
0000101779,Relay Protection 3.5C x 240 sqmm,ERSA,062
0000101780,Electric Motor 11 kV,ERSA,062
0000101781,Transformer Distribution 3.3 kV,ERSA,062
0000101782,Contactor 3.3 kV,ERSA,062
0000101783,LED Floodlight 160 kW,ERSA,062
0000101784,Cable Control L&T,ERSA,063
0000101785,Busbar Aluminium 110 kW,ERSA,063
0000101786,LED Floodlight Schneider,ERSA,063
0000101787,Junction Box 160 kW,ERSA,063
0000101788,Switchgear Panel 5.5 kW,ERSA,063
0000101789,Busbar Copper 5.5 kW,ERSA,063
0000101790,Transformer Distribution Schneider,ERSA,063
0000101791,Cable Control 5.5 kW,ERSA,063
0000101792,Cable Control 5.5 kW,ERSA,063
0000101793,Junction Box 33 kV,ERSA,063
0000101794,Cable Tray 3.3 kV,ERSA,063
0000101795,VFD Drive 110 kW,ERSA,063
0000101796,Relay Protection 160 kW,ERSA,063
0000101797,Busbar Copper ABB,ERSA,063
0000101798,Electric Motor 55 kW,ERSA,063
0000101799,LED Floodlight 250 kW,ERSA,063
0000101800,VFD Drive 11 kW,ERSA,063
0000101801,Transformer Distribution Siemens,ERSA,063
0000101802,Busbar Copper 11 kV,ERSA,063
0000101803,Busbar Aluminium 22 kW,ERSA,063
0000101804,Contactor 37 kW,ERSA,063
0000101805,Relay Protection 55 kW,ERSA,063
0000101806,Circuit Breaker 33 kV,ERSA,063
0000101807,VFD Drive L&T,ERSA,063
0000101808,Contactor 11 kW,ERSA,063
0000101809,Busbar Copper 55 kW,ERSA,063
0000101810,Transformer Distribution 3.3 kV,ERSA,063
0000101811,Cable Power XLPE 6.6 kV,ERSA,063
0000101812,Junction Box 33 kV,ERSA,063
0000101813,LED Floodlight 6.6 kV,ERSA,063
0000101814,Cable Control 3.5C x 240 sqmm,ERSA,063
0000101815,Cable Power XLPE 160 kW,ERSA,063
0000101816,VFD Drive 110 kW,ERSA,063
0000101817,Switchgear Panel L&T,ERSA,063
0000101818,Switchgear Panel 37 kW,ERSA,064
0000101819,Switchgear Panel 3.5C x 240 sqmm,ERSA,064
0000101820,Busbar Aluminium 6.6 kV,ERSA,064
0000101821,Busbar Copper 37 kW,ERSA,064
0000101822,Relay Protection 11 kV,ERSA,064
0000101823,Junction Box 110 kW,ERSA,064
0000101824,Busbar Aluminium 3.3 kV,ERSA,064
0000101825,Busbar Aluminium 250 kW,ERSA,064
0000101826,Cable Tray 37 kW,ERSA,064
0000101827,VFD Drive 90 kW,ERSA,064
0000101828,Junction Box 3.3 kV,ERSA,064
0000101829,Cable Tray 11 kW,ERSA,064
0000101830,Transformer Distribution 6.6 kV,ERSA,064
0000101831,Switchgear Panel 22 kW,ERSA,064
0000101832,LED Floodlight 160 kW,ERSA,064
0000101833,Cable Control 33 kV,ERSA,064
0000101834,Relay Protection 11 kW,ERSA,064
0000101835,Circuit Breaker 3.3 kV,ERSA,064
0000101836,Cable Power XLPE 90 kW,ERSA,064
0000101837,Electric Motor 33 kV,ERSA,064
0000101838,Cable Tray 3.5C x 240 sqmm,ERSA,064
0000101839,Relay Protection Schneider,ERSA,064
0000101840,Transformer Distribution 37 kW,ERSA,064
0000101841,VFD Drive 55 kW,ERSA,065
0000101842,VFD Drive 5.5 kW,ERSA,065
0000101843,Electric Motor 160 kW,ERSA,065
0000101844,Switchgear Panel 110 kW,ERSA,065
0000101845,Cable Tray 33 kV,ERSA,065
0000101846,Cable Control 22 kW,ERSA,065
0000101847,Contactor L&T,ERSA,065
0000101848,Cable Power XLPE 22 kW,ERSA,065
0000101849,Electric Motor 22 kW,ERSA,065
0000101850,Transformer Distribution 3.5C x 240 sqmm,ERSA,065
0000101851,Junction Box 55 kW,ERSA,065
0000101852,VFD Drive 6.6 kV,ERSA,065
0000101853,VFD Drive 11 kW,ERSA,065
0000101854,Busbar Aluminium 11 kW,ERSA,065
0000101855,Switchgear Panel L&T,ERSA,065
0000101856,Busbar Copper 33 kV,ERSA,065
0000101857,Busbar Aluminium 5.5 kW,ERSA,065
0000101858,Busbar Copper 4C x 95 sqmm,ERSA,065
0000101859,Switchgear Panel 11 kV,ERSA,065
0000101860,Transformer Distribution 90 kW,ERSA,065
0000101861,Cable Power XLPE 250 kW,ERSA,065
0000101862,Busbar Aluminium 55 kW,ERSA,065
0000101863,Electric Motor 160 kW,ERSA,065
0000101864,Circuit Breaker 3.3 kV,ERSA,065
0000101865,Busbar Aluminium 4C x 95 sqmm,ERSA,065
0000101866,Relay Protection ABB,ERSA,065
0000101867,Electric Motor 22 kW,ERSA,065
0000101868,Cable Power XLPE 33 kV,ERSA,065
0000101869,Switchgear Panel 4C x 95 sqmm,ERSA,065
0000101870,Transformer Distribution Siemens,ERSA,065
0000101871,Transformer Distribution Schneider,ERSA,065
0000101872,Junction Box 5.5 kW,ERSA,065
0000101873,Busbar Copper 11 kV,ERSA,065
0000101874,Busbar Aluminium Schneider,ERSA,065
0000101875,Cable Control L&T,ERSA,066
0000101876,Relay Protection 6.6 kV,ERSA,066
0000101877,Busbar Copper 250 kW,ERSA,066
0000101878,Switchgear Panel 5.5 kW,ERSA,066
0000101879,Cable Control 160 kW,ERSA,066
0000101880,Electric Motor 250 kW,ERSA,066
0000101881,Electric Motor ABB,ERSA,066
0000101882,Relay Protection 11 kV,ERSA,066
0000101883,Junction Box L&T,ERSA,066
0000101884,Transformer Distribution 90 kW,ERSA,066
0000101885,VFD Drive 160 kW,ERSA,066
0000101886,Circuit Breaker 160 kW,ERSA,066
0000101887,Cable Power XLPE Schneider,ERSA,066
0000101888,Cable Tray 11 kW,ERSA,066
0000101889,Junction Box 160 kW,ERSA,066
0000101890,Contactor 33 kV,ERSA,066
0000101891,Cable Control 90 kW,ERSA,066
0000101892,Switchgear Panel 160 kW,ERSA,066
0000101893,Contactor 6.6 kV,ERSA,066
0000101894,Junction Box 11 kV,ERSA,066
0000101895,Contactor 5.5 kW,ERSA,066
0000101896,LED Floodlight 11 kV,ERSA,066
0000101897,Contactor L&T,ERSA,066
0000101898,Switchgear Panel L&T,ERSA,066
0000101899,Transformer Distribution ABB,ERSA,066
0000101900,Relay Protection 3.3 kV,ERSA,066
0000101901,Switchgear Panel ABB,ERSA,066
0000101902,Electric Motor 22 kW,ERSA,066
0000101903,Electric Motor 160 kW,ERSA,066
0000101904,Contactor 160 kW,ERSA,066
0000101905,Electric Motor Siemens,ERSA,066
0000101906,Busbar Aluminium 5.5 kW,ERSA,066
0000101907,Cable Control 110 kW,ERSA,066
0000101908,Junction Box 55 kW,ERSA,066
0000101909,Cable Control 90 kW,ERSA,066
0000101910,Pressure Transmitter 0-10 bar,ERSA,067
0000101911,Level Transmitter Type J,ERSA,067
0000101912,Weighing Scale Type K,ERSA,067
0000101913,Loadcell 4-20mA,ERSA,067
0000101914,Loadcell Coriolis,ERSA,067
0000101915,Temperature Transmitter Coriolis,ERSA,067
0000101916,Analyser DO Honeywell,ERSA,067
0000101917,RTD Sensor Type K,ERSA,067
0000101918,Solenoid Valve Electromagnetic,ERSA,067
0000101919,Solenoid Valve Type J,ERSA,067
0000101920,Level Transmitter Emerson,ERSA,067
0000101921,Weighing Scale Yokogawa,ERSA,067
0000101922,Analyser pH Ultrasonic,ERSA,067
0000101923,Level Transmitter HART,ERSA,067
0000101924,Analyser DO Coriolis,ERSA,067
0000101925,Flow Meter PT100,ERSA,067
0000101926,PLC Module Electromagnetic,ERSA,067
0000101927,Analyser DO Electromagnetic,ERSA,067
0000101928,Level Transmitter PT100,ERSA,067
0000101929,Analyser DO 0-10 bar,ERSA,067
0000101930,Analyser DO Honeywell,ERSA,067
0000101931,Loadcell 0-50 bar,ERSA,067
0000101932,Level Transmitter Ultrasonic,ERSA,067
0000101933,Weighing Scale DN100,ERSA,067
0000101934,Analyser pH Type K,ERSA,067
0000101935,DCS Controller Type J,ERSA,067
0000101936,Solenoid Valve 0-100 bar,ERSA,067
0000101937,Flow Meter Coriolis,ERSA,067
0000101938,Solenoid Valve PT100,ERSA,067
0000101939,Analyser pH 0-100 bar,ERSA,067
0000101940,DCS Controller 0-10 bar,ERSA,068
0000101941,Control Valve DN50,ERSA,068
0000101942,Flow Meter 0-100 bar,ERSA,068
0000101943,Solenoid Valve DN150,ERSA,068
0000101944,Weighing Scale Type K,ERSA,068
0000101945,Analyser DO 0-10 bar,ERSA,068
0000101946,Pressure Transmitter Honeywell,ERSA,068
0000101947,DCS Controller Emerson,ERSA,068
0000101948,Level Transmitter Emerson,ERSA,068
0000101949,DCS Controller Honeywell,ERSA,068
0000101950,Solenoid Valve HART,ERSA,068
0000101951,PLC Module Type K,ERSA,068
0000101952,Loadcell Yokogawa,ERSA,068
0000101953,Weighing Scale DN100,ERSA,068
0000101954,Level Transmitter Endress+Hauser,ERSA,068
0000101955,Temperature Transmitter 0-50 bar,ERSA,068
0000101956,Control Valve 0-10 bar,ERSA,068
0000101957,Solenoid Valve DN150,ERSA,068
0000101958,Temperature Transmitter 0-100 bar,ERSA,068
0000101959,Solenoid Valve PT100,ERSA,068
0000101960,PLC Module PT100,ERSA,068
0000101961,Analyser DO 0-100 bar,ERSA,068
0000101962,Thermocouple 0-100 bar,ERSA,068
0000101963,Solenoid Valve Yokogawa,ERSA,068
0000101964,Analyser DO 0-10 bar,ERSA,068
0000101965,PLC Module PT100,ERSA,068
0000101966,RTD Sensor Emerson,ERSA,068
0000101967,Level Transmitter 0-50 bar,ERSA,068
0000101968,Temperature Transmitter Ultrasonic,ERSA,068
0000101969,Flow Meter DN50,ERSA,068
0000101970,Analyser DO HART,ERSA,069
0000101971,Analyser DO HART,ERSA,069
0000101972,Control Valve Electromagnetic,ERSA,069
0000101973,Control Valve DN100,ERSA,069
0000101974,Temperature Transmitter 0-50 bar,ERSA,069
0000101975,PLC Module HART,ERSA,069
0000101976,Loadcell Yokogawa,ERSA,069
0000101977,Level Transmitter 0-50 bar,ERSA,069
0000101978,Solenoid Valve 0-10 bar,ERSA,069
0000101979,PLC Module 0-100 bar,ERSA,069
0000101980,Control Valve Yokogawa,ERSA,069
0000101981,Flow Meter Type K,ERSA,069
0000101982,Pressure Transmitter DN50,ERSA,069
0000101983,Level Transmitter Electromagnetic,ERSA,069
0000101984,Temperature Transmitter Yokogawa,ERSA,069
0000101985,Loadcell Type K,ERSA,069
0000101986,Control Valve Honeywell,ERSA,069
0000101987,DCS Controller Yokogawa,ERSA,069
0000101988,Analyser pH DN150,ERSA,069
0000101989,Temperature Transmitter HART,ERSA,069
0000101990,PLC Module PT100,ERSA,069
0000101991,Solenoid Valve Honeywell,ERSA,069
0000101992,Solenoid Valve PT100,ERSA,069
0000101993,DCS Controller 0-50 bar,ERSA,069
0000101994,Control Valve Endress+Hauser,ERSA,069
0000101995,DCS Controller DN150,ERSA,069
0000101996,Flow Meter DN150,ERSA,069
0000101997,RTD Sensor 0-50 bar,ERSA,069
0000101998,Level Transmitter Type K,ERSA,069
0000101999,Temperature Transmitter Coriolis,ERSA,069
0000102000,Weighing Scale HART,ERSA,069
0000102001,PLC Module DN100,ERSA,069
0000102002,Thermocouple 0-50 bar,ERSA,069
0000102003,Loadcell 4-20mA,ERSA,070
0000102004,PLC Module HART,ERSA,070
0000102005,Analyser pH Yokogawa,ERSA,070
0000102006,RTD Sensor DN100,ERSA,070
0000102007,DCS Controller Electromagnetic,ERSA,070
0000102008,Temperature Transmitter Honeywell,ERSA,070
0000102009,Loadcell 0-50 bar,ERSA,070
0000102010,Thermocouple 4-20mA,ERSA,070
0000102011,Weighing Scale Type J,ERSA,070
0000102012,Temperature Transmitter Endress+Hauser,ERSA,070
0000102013,Level Transmitter PT100,ERSA,070
0000102014,Flow Meter DN50,ERSA,070
0000102015,Level Transmitter 0-50 bar,ERSA,070
0000102016,PLC Module 0-100 bar,ERSA,070
0000102017,Analyser pH Emerson,ERSA,070
0000102018,Flow Meter Type J,ERSA,070
0000102019,Loadcell DN150,ERSA,070
0000102020,Solenoid Valve 0-100 bar,ERSA,070
0000102021,Temperature Transmitter Honeywell,ERSA,070
0000102022,Thermocouple Honeywell,ERSA,070
0000102023,Thermocouple Ultrasonic,ERSA,070
0000102024,Loadcell DN150,ERSA,070
0000102025,Thermocouple Endress+Hauser,ERSA,070
0000102026,Loadcell 0-10 bar,ERSA,070
0000102027,Weighing Scale 4-20mA,ERSA,070
0000102028,Weighing Scale Emerson,ERSA,070
0000102029,Temperature Transmitter Emerson,ERSA,070
0000102030,Level Transmitter Type J,ERSA,070
0000102031,RTD Sensor Type K,ERSA,070
0000102032,Temperature Transmitter Type K,ERSA,070
0000102033,Weighing Scale Electromagnetic,ERSA,070
0000102034,Loadcell HART,ERSA,070
0000102035,Strapping Band Laminated,HIBE,071
0000102036,Strapping Band 18mm,HIBE,071
0000102037,Drum Steel 100 L,HIBE,071
0000102038,Shrink Wrap Plain,HIBE,071
0000102039,HDPE Bag 1 MT,HIBE,071
0000102040,Wooden Pallet Printed,HIBE,071
0000102041,Jumbo Bag FIBC 100 L,HIBE,071
0000102042,Shrink Wrap 18mm,HIBE,071
0000102043,Strapping Band 50 kg,HIBE,071
0000102044,Strapping Band Unlaminated,HIBE,071
0000102045,Corrugated Box 50 kg,HIBE,071
0000102046,Drum Steel Laminated,HIBE,071
0000102047,Stretch Film 50 kg,HIBE,071
0000102048,Stretch Film Recycled,HIBE,071
0000102049,Wooden Pallet Laminated,HIBE,071
0000102050,Wooden Pallet Recycled,HIBE,071
0000102051,Drum Steel Recycled,HIBE,071
0000102052,PP Bag Recycled,HIBE,071
0000102053,Corrugated Box 1 MT,HIBE,071
0000102054,Wooden Pallet 12mm,HIBE,071
0000102055,Drum Steel Virgin,HIBE,071
0000102056,Stretch Film Laminated,HIBE,071
0000102057,Strapping Band 100 L,HIBE,071
0000102058,PP Bag 1.5 MT,HIBE,071
0000102059,Drum Steel 1.5 MT,HIBE,071
0000102060,Strapping Band 12mm,HIBE,071
0000102061,Drum Plastic Recycled,HIBE,072
0000102062,Stretch Film Recycled,HIBE,072
0000102063,HDPE Bag 200 L,HIBE,072
0000102064,Jumbo Bag FIBC 25 kg,HIBE,072
0000102065,Wooden Pallet 12mm,HIBE,072
0000102066,Drum Plastic Printed,HIBE,072
0000102067,Jumbo Bag FIBC Virgin,HIBE,072
0000102068,Drum Plastic 100 L,HIBE,072
0000102069,HDPE Bag 1 MT,HIBE,072
0000102070,Corrugated Box Recycled,HIBE,072
0000102071,Corrugated Box Recycled,HIBE,072
0000102072,HDPE Bag 1.5 MT,HIBE,072
0000102073,HDPE Bag Plain,HIBE,072
0000102074,HDPE Bag Unlaminated,HIBE,072
0000102075,Corrugated Box Laminated,HIBE,072
0000102076,Stretch Film Recycled,HIBE,072
0000102077,Drum Steel 200 L,HIBE,072
0000102078,Strapping Band 18mm,HIBE,072
0000102079,PP Bag 18mm,HIBE,072
0000102080,HDPE Bag 1.5 MT,HIBE,072
0000102081,Stretch Film Plain,HIBE,072
0000102082,Shrink Wrap Plain,HIBE,072
0000102083,Jumbo Bag FIBC Recycled,HIBE,072
0000102084,Drum Steel 100 L,HIBE,072
0000102085,Drum Plastic Unlaminated,HIBE,072
0000102086,Stretch Film 1 MT,HIBE,072
0000102087,Wooden Pallet 12mm,HIBE,072
0000102088,PP Bag Laminated,HIBE,072
0000102089,HDPE Bag Printed,HIBE,072
0000102090,HDPE Bag 1 MT,HIBE,072
0000102091,Corrugated Box 18mm,HIBE,073
0000102092,Corrugated Box 18mm,HIBE,073
0000102093,Corrugated Box Laminated,HIBE,073
0000102094,Strapping Band 200 L,HIBE,073
0000102095,HDPE Bag Recycled,HIBE,073
0000102096,HDPE Bag Plain,HIBE,073
0000102097,Jumbo Bag FIBC 18mm,HIBE,073
0000102098,Jumbo Bag FIBC 100 L,HIBE,073
0000102099,HDPE Bag 1.5 MT,HIBE,073
0000102100,Wooden Pallet 100 L,HIBE,073
0000102101,Wooden Pallet 12mm,HIBE,073
0000102102,Wooden Pallet Printed,HIBE,073
0000102103,Strapping Band Recycled,HIBE,073
0000102104,Stretch Film Plain,HIBE,073
0000102105,Wooden Pallet 1.5 MT,HIBE,073
0000102106,Drum Steel Laminated,HIBE,073
0000102107,Drum Plastic Recycled,HIBE,073
0000102108,Shrink Wrap Printed,HIBE,073
0000102109,Shrink Wrap 25 kg,HIBE,073
0000102110,HDPE Bag 200 L,HIBE,073
0000102111,Stretch Film 200 L,HIBE,073
0000102112,Wooden Pallet 18mm,HIBE,074
0000102113,PP Bag Plain,HIBE,074
0000102114,PP Bag Unlaminated,HIBE,074
0000102115,Wooden Pallet 18mm,HIBE,074
0000102116,Stretch Film Recycled,HIBE,074
0000102117,Wooden Pallet Laminated,HIBE,074
0000102118,Wooden Pallet 1.5 MT,HIBE,074
0000102119,Jumbo Bag FIBC 200 L,HIBE,074
0000102120,Corrugated Box 50 kg,HIBE,074
0000102121,Shrink Wrap Printed,HIBE,074
0000102122,Stretch Film 18mm,HIBE,074
0000102123,Jumbo Bag FIBC 12mm,HIBE,074
0000102124,HDPE Bag 18mm,HIBE,074
0000102125,Drum Steel Laminated,HIBE,074
0000102126,Wooden Pallet Printed,HIBE,074
0000102127,Strapping Band Printed,HIBE,074
0000102128,HDPE Bag 100 L,HIBE,074
0000102129,Shrink Wrap Recycled,HIBE,074
0000102130,Corrugated Box Unlaminated,HIBE,074
0000102131,Corrugated Box 18mm,HIBE,074
0000102132,Drum Plastic 18mm,HIBE,074
0000102133,Drum Steel 18mm,HIBE,074
0000102134,Stretch Film 200 L,HIBE,074
0000102135,Wooden Pallet Recycled,HIBE,074
0000102136,Drum Plastic 1 MT,HIBE,075
0000102137,Wooden Pallet 25 kg,HIBE,075
0000102138,Drum Steel 1 MT,HIBE,075
0000102139,Wooden Pallet 12mm,HIBE,075
0000102140,Drum Plastic Virgin,HIBE,075
0000102141,Jumbo Bag FIBC 18mm,HIBE,075
0000102142,Stretch Film 18mm,HIBE,075
0000102143,PP Bag 1.5 MT,HIBE,075
0000102144,Stretch Film 1.5 MT,HIBE,075
0000102145,Wooden Pallet Printed,HIBE,075
0000102146,Stretch Film Unlaminated,HIBE,075
0000102147,Wooden Pallet 100 L,HIBE,075
0000102148,Wooden Pallet Plain,HIBE,075
0000102149,PP Bag Plain,HIBE,075
0000102150,HDPE Bag Recycled,HIBE,075
0000102151,Shrink Wrap 100 L,HIBE,075
0000102152,Shrink Wrap 25 kg,HIBE,075
0000102153,Drum Steel 1.5 MT,HIBE,075
0000102154,Drum Plastic 25 kg,HIBE,075
0000102155,Strapping Band 200 L,HIBE,075
